OrderID,ProductCategory,Supplier,Region,OrderValue,MarketingChannel,ReturnStatus,ReturnReason,OrderDate
ORD100000,Books,Supplier B,East,496.16,Email,Returned,,01-01-2024
ORD100001,Beauty,Supplier A,South,427.2,Email,Not Returned,,02-01-2024
ORD100002,Home & Kitchen,Supplier B,West,112.17,Social Media,Not Returned,Changed Mind,03-01-2024
ORD100003,Beauty,Supplier B,South,465.99,Email,Returned,Damaged,04-01-2024
ORD100004,Beauty,Supplier C,South,67.02,Organic,Not Returned,,05-01-2024
ORD100005,Clothing,Supplier D,North,410.55,Organic,Not Returned,Late Delivery,06-01-2024
ORD100006,Home & Kitchen,Supplier D,North,196.51,Ads,Not Returned,Damaged,07-01-2024
ORD100007,Home & Kitchen,Supplier B,West,440.21,Organic,Not Returned,,08-01-2024
ORD100008,Home & Kitchen,Supplier C,East,435.35,Social Media,Returned,,09-01-2024
ORD100009,Beauty,Supplier B,South,404.9,Ads,Returned,,10-01-2024
ORD100010,Books,Supplier B,West,397.11,Organic,Returned,,11-01-2024
ORD100011,Home & Kitchen,Supplier B,North,159.29,Social Media,Returned,,12-01-2024
ORD100012,Toys,Supplier C,South,49.65,Organic,Not Returned,,13-01-2024
ORD100013,Beauty,Supplier D,East,207.46,Organic,Not Returned,,14-01-2024
ORD100014,Clothing,Supplier C,North,95.03,Email,Not Returned,,15-01-2024
ORD100015,Books,Supplier A,North,350.53,Organic,Not Returned,,16-01-2024
ORD100016,Toys,Supplier C,North,179.59,Organic,Returned,,17-01-2024
ORD100017,Toys,Supplier C,West,488.05,Social Media,Not Returned,,18-01-2024
ORD100018,Clothing,Supplier C,East,324.08,Social Media,Not Returned,,19-01-2024
ORD100019,Books,Supplier C,South,413.02,Email,Returned,,20-01-2024
ORD100020,Beauty,Supplier D,West,74.94,Organic,Not Returned,Other,21-01-2024
ORD100021,Electronics,Supplier A,West,432.39,Email,Not Returned,,22-01-2024
ORD100022,Books,Supplier D,West,462.15,Organic,Not Returned,Other,23-01-2024
ORD100023,Clothing,Supplier D,North,248.66,Ads,Not Returned,,24-01-2024
ORD100024,Toys,Supplier C,East,307.06,Ads,Not Returned,,25-01-2024
ORD100025,Beauty,Supplier B,West,384.76,Email,Not Returned,,26-01-2024
ORD100026,Books,Supplier B,South,95.67,Email,Not Returned,,27-01-2024
ORD100027,Electronics,Supplier D,East,256.26,Email,Not Returned,,28-01-2024
ORD100028,Electronics,Supplier D,South,205.34,Social Media,Not Returned,,29-01-2024
ORD100029,Home & Kitchen,Supplier C,East,81.72,Social Media,Not Returned,,30-01-2024
ORD100030,Home & Kitchen,Supplier D,South,190.09,Social Media,Not Returned,,31-01-2024
ORD100031,Clothing,Supplier C,North,43.4,Email,Not Returned,Damaged,01-02-2024
ORD100032,Books,Supplier B,West,22.65,Organic,Not Returned,Damaged,02-02-2024
ORD100033,Books,Supplier B,South,76.23,Ads,Not Returned,,03-02-2024
ORD100034,Toys,Supplier A,East,481.93,Email,Returned,,04-02-2024
ORD100035,Toys,Supplier B,West,279.27,Social Media,Not Returned,,05-02-2024
ORD100036,Toys,Supplier D,West,483.25,Social Media,Not Returned,,06-02-2024
ORD100037,Home & Kitchen,Supplier B,East,221.92,Email,Not Returned,Wrong Item,07-02-2024
ORD100038,Books,Supplier C,South,162.79,Email,Returned,Wrong Item,08-02-2024
ORD100039,Books,Supplier B,North,258.01,Social Media,Not Returned,,09-02-2024
ORD100040,Electronics,Supplier A,North,225.36,Organic,Not Returned,Late Delivery,10-02-2024
ORD100041,Home & Kitchen,Supplier B,South,61.78,Social Media,Not Returned,,11-02-2024
ORD100042,Beauty,Supplier C,West,324,Social Media,Not Returned,,12-02-2024
ORD100043,Home & Kitchen,Supplier C,West,115.86,Email,Not Returned,,13-02-2024
ORD100044,Beauty,Supplier D,West,313.6,Organic,Not Returned,Late Delivery,14-02-2024
ORD100045,Electronics,Supplier B,West,328.6,Social Media,Not Returned,Late Delivery,15-02-2024
ORD100046,Clothing,Supplier C,South,84.49,Social Media,Returned,Changed Mind,16-02-2024
ORD100047,Books,Supplier A,West,40.06,Ads,Not Returned,,17-02-2024
