OrderID,ProductCategory,Supplier,Region,OrderValue,MarketingChannel,ReturnStatus,ReturnReason,OrderDate,is_returned,return_probability
ORD100000,Books,Supplier B,East,496.16,Email,Returned,,01-01-2024,1,0.406238517
ORD100001,Beauty,Supplier A,South,427.2,Email,Not Returned,,02-01-2024,0,0.469484077
ORD100003,Beauty,Supplier B,South,465.99,Email,Returned,Damaged,04-01-2024,1,0.425180036
ORD100004,Beauty,Supplier C,South,67.02,Organic,Not Returned,,05-01-2024,0,0.409194583
ORD100009,Beauty,Supplier B,South,404.9,Ads,Returned,,10-01-2024,1,0.40239224
ORD100013,Beauty,Supplier D,East,207.46,Organic,Not Returned,,14-01-2024,0,0.417148484
ORD100017,Toys,Supplier C,West,488.05,Social Media,Not Returned,,18-01-2024,0,0.407133518
ORD100018,Clothing,Supplier C,East,324.08,Social Media,Not Returned,,19-01-2024,0,0.416029635
ORD100019,Books,Supplier C,South,413.02,Email,Returned,,20-01-2024,1,0.447673224
ORD100020,Beauty,Supplier D,West,74.94,Organic,Not Returned,Other,21-01-2024,0,0.419618195
ORD100021,Electronics,Supplier A,West,432.39,Email,Not Returned,,22-01-2024,0,0.45719528
ORD100022,Books,Supplier D,West,462.15,Organic,Not Returned,Other,23-01-2024,0,0.434665799
ORD100025,Beauty,Supplier B,West,384.76,Email,Not Returned,,26-01-2024,0,0.42252959
ORD100027,Electronics,Supplier D,East,256.26,Email,Not Returned,,28-01-2024,0,0.431361097
ORD100028,Electronics,Supplier D,South,205.34,Social Media,Not Returned,,29-01-2024,0,0.415614691
ORD100034,Toys,Supplier A,East,481.93,Email,Returned,,04-02-2024,1,0.423673258
ORD100036,Toys,Supplier D,West,483.25,Social Media,Not Returned,,06-02-2024,0,0.413556433
ORD100038,Books,Supplier C,South,162.79,Email,Returned,Wrong Item,08-02-2024,1,0.429794539
ORD100042,Beauty,Supplier C,West,324,Social Media,Not Returned,,12-02-2024,0,0.435869934
ORD100044,Beauty,Supplier D,West,313.6,Organic,Not Returned,Late Delivery,14-02-2024,0,0.436572254
ORD100046,Clothing,Supplier C,South,84.49,Social Media,Returned,Changed Mind,16-02-2024,1,0.407880825
ORD100047,Books,Supplier A,West,40.06,Ads,Not Returned,,17-02-2024,0,0.413640227
ORD100048,Electronics,Supplier D,East,392.57,Email,Returned,,18-02-2024,1,0.441088688
ORD100049,Books,Supplier A,West,235.3,Ads,Not Returned,Wrong Item,19-02-2024,0,0.427445506
ORD100051,Clothing,Supplier B,West,497.48,Social Media,Returned,,21-02-2024,1,0.40182388
ORD100054,Clothing,Supplier C,South,492,Social Media,Not Returned,,24-02-2024,0,0.436721299
ORD100055,Beauty,Supplier D,South,127.2,Organic,Not Returned,,25-02-2024,0,0.420214214
ORD100057,Books,Supplier D,South,69.48,Email,Returned,,27-02-2024,1,0.430005615
ORD100058,Books,Supplier A,South,158.6,Ads,Returned,,28-02-2024,1,0.418908281
ORD100059,Books,Supplier D,West,59.51,Email,Returned,,29-02-2024,1,0.432415394
ORD100060,Books,Supplier C,East,349.16,Organic,Returned,,01-03-2024,1,0.408016569
ORD100061,Beauty,Supplier A,South,40.52,Social Media,Not Returned,,02-03-2024,0,0.42066681
ORD100064,Electronics,Supplier D,West,408.85,Social Media,Returned,,05-03-2024,1,0.43314574
ORD100068,Clothing,Supplier C,West,268.25,Organic,Returned,,09-03-2024,1,0.41854361
ORD100071,Toys,Supplier A,West,444.44,Email,Returned,,12-03-2024,1,0.432910391
ORD100073,Books,Supplier C,West,105.37,Organic,Not Returned,,14-03-2024,0,0.40268006
ORD100078,Books,Supplier B,South,386.96,Email,Not Returned,,19-03-2024,0,0.40725155
